Antall datapunkter: 10201
X: -4.900, Y: -3.600, Z: 36.970, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -3.500, Z: 36.260, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -3.400, Z: 35.570, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -3.300, Z: 34.900, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -3.200, Z: 34.250, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -3.100, Z: 33.620, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -3.000, Z: 33.010, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.900, Z: 32.420, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.800, Z: 31.850, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.700, Z: 31.300, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.600, Z: 30.770, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.500, Z: 30.260, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.400, Z: 29.770, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.300, Z: 29.300, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.200, Z: 28.850, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.100, Z: 28.420, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -2.000, Z: 28.010, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -1.900, Z: 27.620, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -1.800, Z: 27.250, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -1.700, Z: 26.900, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -1.600, Z: 26.570, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -1.500, Z: 26.260, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: -1.400, Z: 25.970, r: 1.000, g: 0.000, b: 0.000
